post_date,verified,resultid,submittingmemberid,submittingplayerid,winner1id,win1_utr,win1_verutr,loser1id,los1_utr,los1_verutr,score,gamesplayed,finalized
2019-04-22,myutr,15530229,194464,1357024,1086062,9.66,0.0,1357024,9.17,0.0,"7-6, 6-0",19,1
2019-04-23,myutr,15533227,72569,310982,310982,8.88,8.88,309835,9.54,9.57,"6-4, 2-6, 1-0",19,1
2019-04-22,myutr,15530363,123381,1288641,1288641,5.44,5.59,1245726,4.41,4.49,"6-4, 6-3",19,1
2019-04-23,myutr,15537324,47403,241991,241991,9.38,9.53,880987,9.32,9.4,"6-3, 6-4",19,1
2019-04-24,myutr,15566674,105288,893606,805548,,5.91,893606,6.0,5.38,"4-6, 6-2, 1-0",19,0
2019-04-26,myutr,15598220,69640,251579,251579,5.32,5.21,125658,7.0,5.96,"6-3, 3-6, 1-0",19,1
2019-04-24,myutr,15541660,7993,160687,160687,,0.0,947122,1.0,7.4,"6-3, 6-4",19,1
2019-03-05,myutr,14915959,150673,750914,1233495,11.5,0.0,750914,8.5,,"6-3, 6-4",19,1
2019-04-24,myutr,15552153,62370,72607,72607,9.22,9.5,61552,,9.8,"7-5, 6-1",19,1
2019-04-23,myutr,15530405,76479,473586,842421,7.5,7.84,473586,6.71,6.28,"6-3, 6-4",19,1
2019-04-26,myutr,15598291,88128,895230,1250154,,3.89,895230,,2.25,"6-3, 6-4",19,1
2019-04-26,myutr,15598277,112616,943673,182879,,5.58,943673,8.5,6.04,"5-7, 6-0, 1-0",19,1
2019-04-23,myutr,15537645,140197,275437,275437,,11.19,205003,,10.31,"6-3, 3-6, 1-0",19,1
2019-04-23,myutr,15533440,152164,236372,236372,12.0,9.55,882787,,10.04,"6-3, 6-4",19,0
2019-04-24,myutr,15541692,37960,136645,104504,,7.8,136645,,5.94,"7-6, 6-0",19,1
2019-04-26,myutr,15598210,76973,141025,117827,,7.99,141025,,6.96,"3-6, 4-6",19,0
2019-04-25,myutr,15597091,195683,1360857,1360857,13.0,0.0,319318,2.0,12.98,"7-5, 6-1",19,1
2019-04-22,myutr,15530091,143395,184939,184939,5.98,6.05,227877,3.41,3.36,"6-4, 6-3",19,1
2019-04-23,myutr,15537169,38138,215564,215564,,10.34,209532,,11.16,"4-6, 6-2, 1-0",19,1
2019-04-24,myutr,15585823,168603,1304117,1304117,,5.17,1296066,7.0,4.04,"6-4, 6-3",19,1
2019-04-24,myutr,15546092,118324,501324,501324,,0.0,413063,,6.43,"0-6, 7-6",19,1
2019-04-24,myutr,15577583,71074,249851,249851,,4.88,390965,,5.81,"6-3, 6-4",19,1
2019-04-25,myutr,15597090,37877,245489,245489,,7.8,936660,,8.78,"6-0, 7-6",19,0
2019-04-26,myutr,15598212,76973,141025,141025,,6.96,117827,,7.99,"6-4, 6-3",19,0
2019-04-26,myutr,15604389,22677,167346,167346,,6.23,610952,,6.11,"6-4, 6-3",19,1
2019-04-24,myutr,15541666,46742,161558,161558,,8.85,775640,,9.75,"4-6, 6-2, 1-0",19,1
2019-04-24,myutr,15541664,79929,214671,214671,,7.5,1330607,,7.4,"4-6, 6-2, 1-0",19,1
2019-04-26,myutr,15598341,195803,1360930,1360930,5.0,0.0,233519,,8.47,"6-0, 6-0, 7-0",19,1
2019-04-24,myutr,15585608,73464,875987,875987,,7.65,310850,,7.22,"4-6, 6-2, 1-0",19,1
2019-04-25,myutr,15586029,190387,184797,184797,14.0,7.29,663378,,6.66,"6-3, 3-6, 1-0",19,1
2019-04-25,myutr,15585943,98528,870812,1360093,,,870812,6.5,4.01,"6-3, 6-4",19,0
2019-04-26,myutr,15598282,88128,895230,895230,,2.25,1250154,,3.89,"6-1, 7-5",19,1
2019-04-22,myutr,15530225,70733,1290676,1290676,6.79,6.86,364173,7.15,7.32,"7-6, 6-0",19,1
2019-04-24,myutr,15585759,93301,848289,540079,,4.17,848289,6.0,0.0,"6-3, 6-4",19,0
2019-04-22,myutr,15530142,95119,1194571,1194571,10.09,10.19,1317733,10.52,10.56,"6-3, 6-4",19,1
2019-04-25,myutr,15598178,195420,1360102,1360102,7.0,0.0,233519,,8.47,"9-0, 9-0, 1-0",19,1
2019-04-24,myutr,15541689,37960,136645,136645,,5.94,175468,,7.84,"6-4, 2-6, 1-0",19,1
