PlayerID,Rank
864189,333
3631,334
3839,335
3856,336
3880,337
3905,338
4221,339
4464,340
4633,341
5691,342
34191,343
42682,344
49962,345
51433,346
51572,347
51790,348
51801,349
53465,350
66480,351
87199,352
124998,353
125079,354
137424,355
141998,356
191170,357
206846,358
224562,359
606930,360
3481,361
3484,362
3564,363
3746,364
3777,365
3785,366
3799,367
3810,368
3866,369
3994,370
4378,371
4423,372
9505,373
27182,374
42672,375
51655,376
52921,377
53374,378
54051,379
55849,380
65765,381
84505,382
207053,383
209257,384
402320,385
751633,386
3474,387
3699,388
3702,389
3946,390
3950,391
4106,392
4117,393
4171,394
4487,395
4573,396
4837,397
5600,398
27193,399
28095,400
44785,401
49930,402
50817,403
50992,404
54109,405
67353,406
69297,407
76082,408
77977,409
87188,410
207050,411
207438,412
208105,413
208113,414
259559,415
369115,416
3619,417
3675,418
3698,419
3713,420
3849,421
4128,422
4142,423
4441,424
4551,425
28528,426
42658,427
51245,428
51701,429
51751,430
52868,431
53085,432
56823,433
58289,434
66275,435
75066,436
83713,437
83953,438
91959,439
96338,440
182464,441
230361,442
251954,443
795528,444
3617,445
3679,446
3686,447
3688,448
3739,449
3766,450
3791,451
3850,452
3960,453
3967,454
4075,455
4238,456
4299,457
51216,458
51222,459
53221,460
55326,461
58365,462
64700,463
74814,464
76863,465
79801,466
82019,467
87182,468
206329,469
216411,470
970273,471
3567,472
3644,473
3854,474
3881,475
4032,476
4462,477
4526,478
4560,479
4739,480
4787,481
4903,482
28527,483
34037,484
50822,485
51247,486
51330,487
53289,488
71210,489
87176,490
109223,491
202479,492
205841,493
207673,494
802298,495
3560,496
3666,497
3863,498
4247,499
4276,500
10058,501
28719,502
45583,503
49984,504
51310,505
52598,506
52687,507
53937,508
55851,509
67284,510
82110,511
87178,512
3597,513
4060,514
5055,515
5090,516
10080,517
51313,518
51487,519
55908,520
56114,521
58915,522
94414,523
182559,524
207034,525
223620,526
224389,527
806315,528
3669,529
3721,530
4021,531
4611,532
5069,533
52976,534
65365,535
65638,536
90462,537
172172,538
3620,539
3942,540
4553,541
27338,542
27683,543
51315,544
52848,545
217470,546
3488,547
3524,548
3828,549
4073,550
54784,551
412343,552
3476,553
55210,554
5225,555
198369,556
55329,557
74092,558
3759,559
41750,560
42680,561
51804,562
64428,563
221235,564
238427,565
4984,566
42663,567
44784,568
50772,569
53291,570
53292,571
54554,572
64324,573
156920,574
200425,575
217511,576
3893,577
3977,578
4096,579
27176,580
52867,581
64348,582
76379,583
87236,584
218165,585
261335,586
394730,587
734600,588
836664,589
960543,590
3571,591
3680,592
3755,593
3800,594
4022,595
4676,596
4891,597
42691,598
51272,599
55401,600
56553,601
70522,602
74561,603
76861,604
76935,605
87233,606
93368,607
103421,608
125087,609
142794,610
159642,611
171018,612
197507,613
205052,614
206601,615
218755,616
227911,617
251765,618
270004,619
308451,620
379580,621
405461,622
471183,623
3532,624
3535,625
3572,626
3609,627
3621,628
3663,629
3709,630
4105,631
4170,632
10063,633
28077,634
